日期,区域,品类,数量,单价,销售额
2026-08-01,华东,平板,2,2599,5198
2026-08-01,华北,笔记本,1,6999,6999
2026-08-01,华中,手机,5,3999,19995
2026-08-01,西南,手机,1,3999,3999
2026-08-01,华东,笔记本,2,6999,13998
2026-08-01,华中,智能手表,1,1499,1499
2026-08-01,华中,笔记本,5,6999,34995
2026-08-02,华北,耳机,5,899,4495
2026-08-02,华南,手机,2,3999,7998
2026-08-02,西南,平板,3,2599,7797
2026-08-02,华北,笔记本,3,6999,20997
2026-08-02,华东,手机,4,3999,15996
2026-08-02,华东,平板,3,2599,7797
2026-08-02,华中,平板,1,2599,2599
2026-08-02,西南,智能手表,1,1499,1499
2026-08-02,西南,手机,5,3999,19995
2026-08-02,华南,智能手表,3,1499,4497
2026-08-02,华中,笔记本,1,6999,6999
2026-08-02,华东,笔记本,3,6999,20997
2026-08-03,华北,手机,4,3999,15996
2026-08-03,华南,耳机,3,899,2697
2026-08-03,华北,平板,3,2599,7797
2026-08-03,华北,平板,1,2599,2599
2026-08-03,华中,笔记本,5,6999,34995
2026-08-03,华北,笔记本,4,6999,27996
2026-08-03,西南,平板,5,2599,12995
2026-08-04,华南,手机,2,3999,7998
2026-08-04,华东,平板,4,2599,10396
2026-08-04,华南,手机,2,3999,7998
2026-08-04,华中,平板,2,2599,5198
2026-08-04,西南,耳机,4,899,3596
2026-08-04,华北,平板,2,2599,5198
2026-08-04,华北,智能手表,5,1499,7495
2026-08-04,华南,智能手表,4,1499,5996
2026-08-04,华中,耳机,3,899,2697
2026-08-05,华北,智能手表,4,1499,5996
2026-08-05,华东,手机,1,3999,3999
2026-08-05,华北,笔记本,4,6999,27996
2026-08-05,华中,手机,4,3999,15996
2026-08-05,西南,智能手表,4,1499,5996
2026-08-05,华中,平板,5,2599,12995
2026-08-05,华东,手机,5,3999,19995
2026-08-05,华南,平板,1,2599,2599
2026-08-05,华南,耳机,2,899,1798
2026-08-06,华东,平板,5,2599,12995
2026-08-06,华北,智能手表,1,1499,1499
2026-08-06,华南,智能手表,5,1499,7495
2026-08-06,华北,笔记本,3,6999,20997
2026-08-06,华北,智能手表,5,1499,7495
2026-08-06,华东,智能手表,3,1499,4497
2026-08-06,西南,手机,1,3999,3999
2026-08-06,华南,平板,2,2599,5198
2026-08-06,华东,笔记本,5,6999,34995
2026-08-06,华东,手机,4,3999,15996
2026-08-06,华东,智能手表,2,1499,2998
2026-08-06,华北,耳机,5,899,4495
2026-08-06,华北,平板,5,2599,12995
2026-08-07,华北,智能手表,2,1499,2998
2026-08-07,华南,耳机,3,899,2697
2026-08-07,西南,智能手表,4,1499,5996
2026-08-07,华东,笔记本,2,6999,13998
2026-08-07,华东,平板,1,2599,2599
2026-08-07,华中,智能手表,2,1499,2998
2026-08-07,华中,笔记本,1,6999,6999
2026-08-07,华东,手机,2,3999,7998
2026-08-07,华东,手机,3,3999,11997
2026-08-07,华东,智能手表,2,1499,2998
2026-08-07,华南,耳机,2,899,1798
2026-08-07,华中,笔记本,5,6999,34995
2026-08-08,华北,耳机,4,899,3596
2026-08-08,华北,手机,1,3999,3999
2026-08-08,西南,平板,4,2599,10396
2026-08-08,西南,耳机,1,899,899
2026-08-08,华东,手机,4,3999,15996
2026-08-08,华南,手机,2,3999,7998
2026-08-08,华北,笔记本,5,6999,34995
2026-08-08,西南,笔记本,4,6999,27996
2026-08-08,华北,平板,4,2599,10396
2026-08-08,华北,手机,4,3999,15996
2026-08-08,华中,手机,1,3999,3999
2026-08-08,华中,手机,1,3999,3999
2026-08-08,华北,笔记本,4,6999,27996
2026-08-09,西南,笔记本,4,6999,27996
2026-08-09,华东,笔记本,4,6999,27996
2026-08-09,华东,耳机,3,899,2697
2026-08-09,西南,平板,4,2599,10396
2026-08-09,华中,耳机,2,899,1798
2026-08-09,华北,平板,2,2599,5198
2026-08-09,华东,智能手表,5,1499,7495
2026-08-09,华东,平板,1,2599,2599
2026-08-09,华东,智能手表,4,1499,5996
2026-08-09,华中,智能手表,2,1499,2998
2026-08-09,华东,智能手表,1,1499,1499
2026-08-09,华北,手机,5,3999,19995
2026-08-09,华东,笔记本,4,6999,27996
2026-08-10,华中,笔记本,5,6999,34995
2026-08-10,华中,手机,5,3999,19995
2026-08-10,华东,耳机,5,899,4495
2026-08-10,华中,智能手表,3,1499,4497
2026-08-10,华南,笔记本,3,6999,20997
2026-08-10,华北,平板,4,2599,10396
2026-08-10,华北,平板,4,2599,10396
2026-08-11,华东,手机,4,3999,15996
2026-08-11,华中,智能手表,1,1499,1499
2026-08-11,华东,智能手表,2,1499,2998
2026-08-11,华中,平板,2,2599,5198
2026-08-11,华南,手机,2,3999,7998
2026-08-11,华南,平板,2,2599,5198
2026-08-11,西南,智能手表,3,1499,4497
2026-08-11,华中,智能手表,1,1499,1499
2026-08-11,华中,平板,1,2599,2599
2026-08-11,华北,平板,1,2599,2599
2026-08-11,华东,智能手表,2,1499,2998
2026-08-12,华南,智能手表,2,1499,2998
2026-08-12,华南,笔记本,3,6999,20997
2026-08-12,华中,耳机,3,899,2697
2026-08-12,华东,手机,4,3999,15996
2026-08-12,华南,手机,1,3999,3999
2026-08-12,华南,笔记本,3,6999,20997
2026-08-12,华北,耳机,5,899,4495
2026-08-12,西南,智能手表,1,1499,1499
